iter	Passed	Remaining
0	225	180378
1	513	204857
2	700	186163
3	869	173126
4	1046	166325
5	1239	163973
6	1439	163019
7	1645	162940
8	1854	162958
9	2071	163668
10	2297	164804
11	2523	165712
12	2760	167139
13	3000	168468
14	3233	169229
15	3465	169802
16	3702	170525
17	3931	170792
18	4160	171015
19	4389	171193
20	4614	171170
21	4834	170977
22	5056	170806
23	5281	170771
24	5508	170771
25	5727	170488
26	5942	170134
27	6159	169837
28	6375	169498
29	6600	169408
30	6813	169024
31	7026	168638
32	7244	168385
33	7464	168180
34	7678	167835
35	7891	167475
36	8115	167349
37	8336	167175
38	8550	166853
39	8770	166643
40	8994	166507
41	9210	166235
42	9426	165952
43	9644	165717
44	9863	165489
45	10079	165215
46	10292	164903
47	10511	164687
48	10735	164537
49	10956	164354
50	11174	164116
51	11394	163899
52	11613	163684
53	11834	163491
54	12048	163202
55	12262	162915
56	12478	162658
57	12690	162353
58	12908	162117
59	13122	161845
60	13341	161623
61	13559	161407
62	13777	161175
63	14001	161015
64	14216	160756
65	14430	160489
66	14645	160230
67	14867	160048
68	15100	159975
69	15315	159722
70	15539	159548
71	15752	159274
72	15969	159036
73	16182	158760
74	16398	158519
75	16619	158319
76	16835	158074
77	17050	157828
78	17274	157656
79	17490	157417
80	17706	157169
81	17924	156946
82	18138	156690
83	18355	156459
84	18573	156238
85	18792	156018
86	19012	155812
87	19235	155629
88	19463	155490
89	19676	155228
90	19899	155041
91	20115	154800
92	20337	154610
93	20559	154416
94	20780	154209
95	20994	153961
96	21213	153741
97	21434	153544
98	21648	153285
99	21863	153044
100	22078	152797
101	22313	152694
102	22531	152469
103	22749	152249
104	22968	152032
105	23192	151845
106	23412	151636
107	23625	151381
108	23841	151142
109	24057	150908
110	24275	150682
111	24495	150471
112	24709	150224
113	24932	150034
114	25146	149787
115	25364	149560
116	25577	149312
117	25800	149118
118	26020	148908
119	26236	148674
120	26459	148477
121	26674	148241
122	26889	148000
123	27103	147755
124	27323	147548
125	27540	147319
126	27753	147073
127	27988	146937
128	28209	146734
129	28434	146545
130	28657	146348
131	28884	146174
132	29110	145988
133	29337	145812
134	29612	145868
135	29847	145725
136	30065	145498
137	30384	145756
138	30619	145605
139	30877	145563
140	31139	145537
141	31392	145465
142	31637	145353
143	31880	145233
144	32169	145316
145	32412	145190
146	32658	145075
147	32906	144964
148	33146	144821
149	33395	144712
150	33625	144524
151	33847	144296
152	34078	144109
153	34308	143915
154	34535	143713
155	34760	143498
156	34984	143278
157	35201	143033
158	35422	142805
159	35644	142577
160	35864	142345
161	36090	142135
162	36311	141905
163	36531	141669
164	36755	141453
165	36991	141281
166	37222	141088
167	37445	140868
168	37665	140633
169	37883	140390
170	38100	140147
171	38321	139919
172	38536	139668
173	38763	139458
174	38981	139218
175	39194	138963
176	39410	138717
177	39629	138482
178	39847	138241
179	40063	137996
180	40286	137773
181	40513	137567
182	40729	137322
183	40958	137120
184	41187	136920
185	41414	136713
186	41634	136481
187	41855	136253
188	42075	136021
189	42294	135786
190	42524	135588
191	42743	135354
192	42963	135123
193	43188	134907
194	43406	134672
195	43623	134431
196	43840	134193
197	44062	133968
198	44281	133735
199	44498	133496
200	44714	133252
201	44948	133066
202	45174	132852
203	45402	132647
204	45626	132428
205	45852	132214
206	46075	131993
207	46301	131782
208	46520	131549
209	46759	131372
210	46981	131146
211	47204	130925
212	47421	130688
213	47646	130470
214	47898	130329
215	48123	130111
216	48444	130151
217	48663	129918
218	48899	129729
219	49136	129541
220	49372	129352
221	49593	129122
222	49822	128912
223	50057	128720
224	50280	128493
225	50504	128273
226	50727	128046
227	50948	127817
228	51173	127599
229	51399	127380
230	51625	127164
231	51850	126945
232	52068	126707
233	52292	126484
234	52515	126259
235	52744	126050
236	52970	125832
237	53198	125620
238	53420	125393
239	53635	125150
240	53868	124947
241	54097	124738
242	54321	124515
243	54549	124301
244	54771	124074
245	54996	123854
246	55219	123628
247	55440	123399
248	55659	123166
249	55878	122933
250	56099	122703
251	56317	122467
252	56533	122227
253	56758	122008
254	56977	121776
255	57198	121546
256	57416	121312
257	57637	121082
258	57856	120850
259	58081	120630
260	58307	120412
261	58525	120177
262	58751	119959
263	58970	119728
264	59186	119490
265	59404	119255
266	59628	119033
267	59853	118814
268	60076	118589
269	60295	118357
270	60517	118132
271	60731	117891
272	60956	117670
273	61179	117446
274	61398	117215
275	61616	116982
276	61835	116751
277	62059	116529
278	62280	116301
279	62498	116068
280	62720	115842
281	62944	115621
282	63170	115403
283	63395	115184
284	63620	114963
285	63841	114735
286	64061	114507
287	64281	114278
288	64502	114051
289	64727	113830
290	64952	113610
291	65177	113390
292	65399	113165
293	65620	112938
294	65841	112711
295	66059	112479
296	66277	112247
297	66498	112021
298	66715	111787
299	66945	111575
300	67167	111351
301	67408	111156
302	67627	110926
303	67847	110698
304	68072	110477
305	68298	110260
306	68518	110031
307	68735	109798
308	68954	109568
309	69174	109340
310	69392	109109
311	69615	108886
312	69832	108653
313	70052	108425
314	70278	108206
315	70503	107986
316	70724	107759
317	70948	107538
318	71170	107313
319	71394	107091
320	71612	106861
321	71834	106637
322	72053	106406
323	72272	106178
324	72492	105950
325	72714	105725
326	72934	105498
327	73158	105277
328	73379	105050
329	73594	104816
330	73815	104589
331	74039	104369
332	74258	104140
333	74476	103910
334	74696	103683
335	74917	103457
336	75142	103237
337	75366	103015
338	75591	102795
339	75820	102580
340	76045	102359
341	76268	102137
342	76495	101920
343	76716	101694
344	76936	101466
345	77151	101233
346	77372	101008
347	77590	100778
348	77810	100552
349	78035	100330
350	78256	100105
351	78474	99876
352	78696	99653
353	78922	99433
354	79148	99214
355	79374	98995
356	79597	98772
357	79823	98553
358	80040	98322
359	80259	98095
360	80486	97876
361	80702	97645
362	80922	97418
363	81134	97183
364	81350	96952
365	81573	96729
366	81795	96505
367	82014	96277
368	82243	96062
369	82468	95841
370	82694	95622
371	82923	95406
372	83139	95175
373	83359	94949
374	83572	94715
375	83792	94489
376	84012	94263
377	84234	94039
378	84455	93814
379	84678	93591
380	84913	93382
381	85131	93154
382	85348	92925
383	85565	92696
384	85801	92487
385	86020	92260
386	86242	92036
387	86470	91819
388	86689	91592
389	86907	91364
390	87128	91139
391	87349	90914
392	87573	90693
393	87794	90468
394	88017	90245
395	88238	90021
396	88464	89801
397	88685	89576
398	88910	89356
399	89127	89127
400	89351	88905
401	89640	88748
402	89882	88544
403	90104	88320
404	90323	88092
405	90544	87868
406	90768	87646
407	90993	87425
408	91216	87202
409	91440	86979
410	91663	86756
411	91880	86528
412	92103	86305
413	92355	86109
414	92578	85886
415	92810	85670
416	93058	85471
417	93284	85250
418	93510	85029
419	93791	84859
420	94010	84631
421	94236	84410
422	94453	84182
423	94678	83960
424	94898	83734
425	95118	83508
426	95343	83285
427	95561	83057
428	95781	82831
429	95999	82604
430	96221	82380
431	96441	82153
432	96661	81927
433	96879	81700
434	97096	81472
435	97314	81244
436	97534	81018
437	97755	80793
438	97975	80567
439	98191	80338
440	98408	80110
441	98627	79883
442	98847	79658
443	99064	79429
444	99285	79205
445	99507	78980
446	99739	78765
447	99975	78552
448	100198	78328
449	100427	78110
450	100652	77888
451	100872	77662
452	101091	77436
453	101309	77209
454	101529	76983
455	101752	76761
456	101972	76534
457	102193	76310
458	102414	76085
459	102629	75856
460	102846	75628
461	103067	75404
462	103290	75181
463	103509	74954
464	103728	74728
465	103947	74502
466	104167	74277
467	104386	74051
468	104601	73823
469	104820	73597
470	105037	73369
471	105262	73148
472	105486	72926
473	105714	72706
474	105933	72480
475	106156	72257
476	106383	72037
477	106604	71812
478	106835	71595
479	107063	71375
480	107288	71154
481	107510	70929
482	107728	70704
483	107952	70481
